"Model","N","Corr","Miss","Outcome_Type","STE_Panel","STE_Bench"
"Weighted_ADAS",530,"Real","MNAR","ADAS",-0.0541224490164452,-0.542732937514127
"Weighted_ADAS",530,"Moderate","MCAR","ADAS",-0.0504638067718723,-0.54181652213829
"Weighted_ADAS",530,"Moderate","MAR","ADAS",-0.0508055926824551,-0.522590100432243
"Weighted_ADAS",530,"Moderate","MNAR","ADAS",-0.050273062905712,-0.513336523391864
"Weighted_ADAS",530,"Strong","MCAR","ADAS",-0.0458639593411497,-0.504105950253147
"Weighted_ADAS",530,"Strong","MAR","ADAS",-0.0484899110029254,-0.50635737802245
"Weighted_ADAS",530,"Strong","MNAR","ADAS",-0.0501903590584541,-0.502250496087932
"Weighted_ADAS",1072,"Real","MCAR","ADAS",-0.0384458035190988,-0.400809688963633
"Weighted_ADAS",1072,"Real","MAR","ADAS",-0.0383078164010384,-0.388810187108453
"Weighted_ADAS",1072,"Real","MNAR","ADAS",-0.0390412861793194,-0.381122404413766
"Weighted_ADAS",1072,"Moderate","MCAR","ADAS",-0.0355200357307341,-0.384826272772889
"Weighted_ADAS",1072,"Moderate","MAR","ADAS",-0.0348205062673403,-0.368585500323112
"Weighted_ADAS",1072,"Moderate","MNAR","ADAS",-0.0352767807983003,-0.361368065636904
"Weighted_ADAS",1072,"Strong","MCAR","ADAS",-0.034194934517997,-0.363469566686532
"Weighted_ADAS",1072,"Strong","MAR","ADAS",-0.033619499397081,-0.372131066096743
"Weighted_ADAS",1072,"Strong","MNAR","ADAS",-0.0345923837924901,-0.367091815594216
"Weighted_MMSE",260,"Real","MCAR","MMSE",NA,NA
"Weighted_MMSE",260,"Real","MAR","MMSE",NA,NA
"Weighted_MMSE",260,"Real","MNAR","MMSE",NA,NA
"Weighted_MMSE",260,"Moderate","MCAR","MMSE",NA,NA
"Weighted_MMSE",260,"Moderate","MAR","MMSE",NA,NA
"Weighted_MMSE",260,"Moderate","MNAR","MMSE",NA,NA
